,pace_sec,half_pace_sec,age,time_hours,age_range,race_uniform_index,bib
6559,319.13733854722125,292.4991112691077,26,3.7405555555555554,Dientes de leche(0-28),0.016491676404522,8452
5308,319.1610380376822,292.3095153454201,46,3.7408333333333332,WTF Happened(40-49),0.0159429075976156,6974
4459,319.1610380376822,297.6656001895959,25,3.7408333333333332,Dientes de leche(0-28),0.0089169599414305,5960
2562,319.1610380376822,300.793932930442,31,3.7408333333333332,Cancha Reglamentaria(29-39),0.0060625686389971,3509
6892,319.1610380376822,310.4159260575898,41,3.7408333333333332,WTF Happened(40-49),0.0015402217793698,8834
4438,319.1847375281432,312.2170873326223,34,3.741111111111111,Cancha Reglamentaria(29-39),0.0005613460103353,5936
1289,319.2084370186041,320.2749140893471,32,3.741388888888889,Cancha Reglamentaria(29-39),0.0004093547650364,1809
3241,319.23213650906507,307.3349922976656,25,3.7416666666666667,Dientes de leche(0-28),0.002423088250248,4356
4775,319.255835999526,308.2355729351819,28,3.7419444444444445,Dientes de leche(0-28),0.0015103644321682,6332
5087,319.279535489987,294.63206541059367,38,3.7422222222222223,Cancha Reglamentaria(29-39),0.012036057041742,6703
